community_area,zip_code
1,60626
2,60645
3,60640
4,60625
5,60618
6,60657
7,60614
8,60611
9,60631
10,60631
11,60630
12,60646
13,60659
14,60625
15,60641
16,60618
17,60634
18,60707
19,60639
20,60639
21,60618
22,60647
23,60651
24,60622
25,60644
26,60624
27,60624
28,60607
29,60623
30,60623
31,60608
32,60605
33,60616
34,60616
35,60616
36,60653
37,60609
38,60653
39,60615
40,60637
41,60637
42,60637
43,60649
44,60619
45,60619
46,60617
47,60619
48,60617
49,60628
50,60628
51,60617
52,60617
53,60628
54,60827
55,60633
56,60638
57,60632
58,60632
59,60609
60,60608
61,60609
62,60629
63,60632
64,60638
65,60629
66,60629
67,60636
68,60621
69,60619
70,60652
71,60620
72,60643
73,60620
74,60655
75,60643
76,60666
77,60660
